Loan ID,CIF Number,Annual Income,Purpose,Home Ownership,Loan Amount,Loan Date,Due Date,Loan Term,Monthly Debt,Years of Credit History,Interest Rate,Total Paid,Months since last delinquency
0,9280,831828000,Real Estate,Rent,664852490,2020-03-30,2024-06-30,51,13036323,3,6.5,306774297,1
1,3644,829044000,Real Estate,Other,922136660,2024-04-17,2025-06-17,14,65866904,2,6.5,902385233,4
2,6367,532908000,Real Estate,Other,175629483,2021-04-17,2025-06-17,50,3512589,9,6.5,126669202,10
3,4064,223704000,Automobile,Own,769930845,2023-09-24,2027-05-24,44,17498428,6,7.5,439186068,4
4,859,52956000,Real Estate,Other,852792230,2020-12-20,2025-12-20,60,14213203,2,6.5,395133679,2
5,3973,231456000,Consumer,Rent,63176902,2023-12-07,2024-08-07,8,7897112,8,6.5,37155654,1
6,7278,283824000,Others,Own,886327678,2022-11-12,2024-10-12,23,38535986,3,9,219080106,8
7,6253,434856000,Automobile,Own,368585875,2024-05-20,2025-04-20,11,33507806,1,7.5,281513976,2
8,7208,599436000,Others,Other,179401342,2024-03-21,2027-01-21,34,5276510,7,9,50431630,3
9,8558,175320000,Real Estate,Own,958086051,2022-03-11,2025-05-11,38,25212790,9,6.5,603975545,5
10,3419,692232000,Others,Mortgage,994829193,2023-09-14,2025-01-14,16,62176824,8,9,95753789,5
11,1857,402372000,Others,Own,616672895,2022-09-23,2024-12-23,27,22839736,9,9,200383973,5
12,1949,400380000,Real Estate,Mortgage,626581394,2022-06-14,2025-05-14,35,17902325,5,6.5,300751649,12
13,3561,355068000,Automobile,Own,319613108,2024-04-09,2028-11-09,55,5811147,1,7.5,179983031,21
14,1388,832836000,Home,Rent,587590937,2023-11-18,2026-02-18,27,21762627,7,7,345798336,12
15,739,164532000,Others,Own,591043025,2021-05-12,2024-07-12,38,15553763,2,9,447109826,13
16,3037,759168000,Automobile,Rent,693423201,2023-10-29,2025-11-29,25,27736928,8,7.5,143278895,11
17,5525,314292000,Automobile,Rent,958414078,2024-03-13,2024-09-13,6,159735679,5,7.5,686262552,1
18,4287,421560000,Home,Mortgage,163530720,2022-03-06,2027-02-06,59,2771707,7,7,136632781,10
