Saving_id,CIF,CurrentSavingBalance,SavingProductSubcribed,ApplicationDate,UpdateDate
0,1,5730347710,Tiết kiệm Tích Tài,2017-10-26,2020-08-12
1,1,5704531731,Tiết kiệm Đại Phát,2017-10-26,2021-09-19
2,1,5735839070,Tiền gửi tương lai,2017-10-26,2024-03-13
5,2,8604234999,Tiết kiệm Tích Tài,2009-02-21,2009-10-15
13,2,8682113512,Tiết kiệm Trung Niên Tích Lộc,2009-02-21,2011-03-15
4,2,8563290621,Tiết kiệm Trung Niên Tích Lộc,2009-02-21,2011-08-01
7,2,8665098313,Tiết kiệm Đại Phát,2009-02-21,2011-10-10
9,2,8695828509,Tiền gửi tương lai,2009-02-21,2015-02-10
11,2,8680446006,Tiết kiệm truyền thống,2009-02-21,2017-03-02
8,2,8654776353,Tiết kiệm Trung Niên Tích Lộc,2009-02-21,2018-03-21
3,2,8597381523,Tiết kiệm Tích Tài,2009-02-21,2018-06-30
15,2,8702468886,Tiền gửi tương lai,2009-02-21,2018-09-11
14,2,8671528992,Tiết kiệm Tích Tài,2009-02-21,2019-01-10
6,2,8635600615,Tiết kiệm Tích Tài,2009-02-21,2020-10-05
12,2,8658592983,Tiền gửi tương lai,2009-02-21,2023-06-07
10,2,8713882921,Tiết kiệm Trung Niên Tích Lộc,2009-02-21,2023-07-25
18,3,5698737174,Tiền gửi tương lai,2008-12-26,2009-02-07
24,3,5610310642,Tiền gửi tương lai,2008-12-26,2012-05-04
22,3,5666320254,Tiết kiệm truyền thống,2008-12-26,2012-07-23
25,3,5648718443,Tiết kiệm Đại Phát,2008-12-26,2015-02-23
17,3,5675887287,Tiết kiệm Đại Phát,2008-12-26,2015-09-09
21,3,5692050161,Tiền gửi tương lai,2008-12-26,2016-11-20
20,3,5712413607,Tiết kiệm Tích Tài,2008-12-26,2017-01-27
27,3,5588946420,Tiết kiệm truyền thống,2008-12-26,2017-09-23
26,3,5623557250,Tiết kiệm truyền thống,2008-12-26,2020-05-31
19,3,5678844236,Tiết kiệm Trung Niên Tích Lộc,2008-12-26,2020-06-06
23,3,5648553894,Tiết kiệm Trung Niên Tích Lộc,2008-12-26,2020-11-29
16,3,5714745702,Tiết kiệm truyền thống,2008-12-26,2022-02-07
40,5,7755314279,Tiết kiệm Trung Niên Tích Lộc,2008-09-02,2008-12-10
37,5,7812507134,Tiền gửi tương lai,2008-09-02,2009-11-20
36,5,7765864847,Tiết kiệm Tích Tài,2008-09-02,2012-04-15
30,5,7837450972,Tiết kiệm Tích Tài,2008-09-02,2013-08-24
29,5,7810714871,Tiết kiệm truyền thống,2008-09-02,2015-03-23
32,5,7790175887,Tiền gửi tương lai,2008-09-02,2016-01-06
35,5,7776726798,Tiền gửi tương lai,2008-09-02,2016-08-17
33,5,7823056636,Tiết kiệm Tích Tài,2008-09-02,2018-12-28
38,5,7763110634,Tiền gửi tương lai,2008-09-02,2019-02-08
28,5,7777615106,Tiết kiệm truyền thống,2008-09-02,2021-08-24
39,5,7742014036,Tiết kiệm Trung Niên Tích Lộc,2008-09-02,2022-05-22
31,5,7806759218,Tiết kiệm truyền thống,2008-09-02,2022-11-26
34,5,7806245033,Tiết kiệm Tích Tài,2008-09-02,2023-06-16
41,5,7736382978,Tiết kiệm truyền thống,2008-09-02,2023-10-17
42,6,7216569035,Tiết kiệm Tích Tài,2018-05-22,2018-08-02
47,6,7242457998,Tiền gửi tương lai,2018-05-22,2018-09-16
51,6,7214911271,Tiết kiệm truyền thống,2018-05-22,2018-11-22
56,6,7189904490,Tiết kiệm Đại Phát,2018-05-22,2019-03-27
48,6,7196967142,Tiết kiệm Đại Phát,2018-05-22,2019-07-14
53,6,7230893672,Tiết kiệm Tích Tài,2018-05-22,2020-03-25
46,6,7229918918,Tiền gửi tương lai,2018-05-22,2020-08-16
45,6,7249618992,Tiết kiệm Đại Phát,2018-05-22,2021-05-22
54,6,7243280805,Tiết kiệm Đại Phát,2018-05-22,2021-10-04
49,6,7209057277,Tiết kiệm Trung Niên Tích Lộc,2018-05-22,2021-12-22
55,6,7230389385,Tiết kiệm truyền thống,2018-05-22,2022-04-13
43,6,7228989363,Tiết kiệm Trung Niên Tích Lộc,2018-05-22,2023-02-22
44,6,7239604280,Tiết kiệm Tích Tài,2018-05-22,2023-06-30
50,6,7169995554,Tiền gửi tương lai,2018-05-22,2023-07-30
52,6,7254171536,Tiền gửi tương lai,2018-05-22,2023-09-04
58,7,6167841887,Tiền gửi tương lai,2018-07-10,2018-09-27
68,7,6279792019,Tiết kiệm Đại Phát,2018-07-10,2019-01-11
62,7,6208817876,Tiết kiệm Trung Niên Tích Lộc,2018-07-10,2019-06-04
57,7,6189341083,Tiết kiệm Tích Tài,2018-07-10,2021-02-05
69,7,6259337811,Tiền gửi tương lai,2018-07-10,2021-02-09
59,7,6188177322,Tiết kiệm truyền thống,2018-07-10,2021-05-06
66,7,6205292416,Tiết kiệm Tích Tài,2018-07-10,2022-01-24
61,7,6188299046,Tiết kiệm Trung Niên Tích Lộc,2018-07-10,2023-01-06
60,7,6162547655,Tiết kiệm Đại Phát,2018-07-10,2023-01-21
67,7,6246462678,Tiết kiệm Đại Phát,2018-07-10,2023-03-12
64,7,6178576248,Tiết kiệm truyền thống,2018-07-10,2023-04-06
65,7,6223801675,Tiền gửi tương lai,2018-07-10,2023-11-05
63,7,6168204754,Tiết kiệm Tích Tài,2018-07-10,2024-05-10
70,9,6086678593,Tiết kiệm truyền thống,2002-04-13,2002-11-10
71,9,6042807339,Tiền gửi tương lai,2002-04-13,2006-10-15
72,12,3187191104,Tiền gửi tương lai,2018-04-27,2018-07-26
73,12,3139931119,Tiền gửi tương lai,2018-04-27,2019-04-21
75,13,9560030588,Tiền gửi tương lai,2021-06-30,2021-08-26
76,13,9591672429,Tiết kiệm Tích Tài,2021-06-30,2021-10-02
77,13,9552161562,Tiết kiệm Tích Tài,2021-06-30,2023-02-15
74,13,9524758834,Tiết kiệm Tích Tài,2021-06-30,2023-12-09
80,18,1574209976,Tiết kiệm truyền thống,2004-12-31,2006-04-03
81,18,1614875449,Tiết kiệm Tích Tài,2004-12-31,2009-07-11
79,18,1605481545,Tiết kiệm Đại Phát,2004-12-31,2013-08-12
78,18,1592987271,Tiết kiệm Trung Niên Tích Lộc,2004-12-31,2022-03-30
83,19,692294567,Tiết kiệm truyền thống,2019-06-03,2021-11-02
82,19,738381721,Tiền gửi tương lai,2019-06-03,2022-09-29
85,20,4803603287,Tiết kiệm Đại Phát,2014-08-18,2014-10-01
86,20,4759131005,Tiết kiệm Trung Niên Tích Lộc,2014-08-18,2015-09-21
93,20,4829350211,Tiết kiệm Trung Niên Tích Lộc,2014-08-18,2019-03-27
91,20,4810939023,Tiết kiệm Tích Tài,2014-08-18,2019-05-26
84,20,4792542584,Tiết kiệm truyền thống,2014-08-18,2019-07-03
94,20,4839408638,Tiết kiệm Trung Niên Tích Lộc,2014-08-18,2020-04-03
95,20,4867697670,Tiết kiệm Đại Phát,2014-08-18,2020-10-23
89,20,4727678924,Tiền gửi tương lai,2014-08-18,2020-11-26
88,20,4758210580,Tiết kiệm Đại Phát,2014-08-18,2022-02-26
92,20,4794251206,Tiền gửi tương lai,2014-08-18,2022-03-21
96,20,4836769872,Tiết kiệm truyền thống,2014-08-18,2023-08-23
90,20,4767046451,Tiết kiệm Trung Niên Tích Lộc,2014-08-18,2024-03-08
97,20,4801176791,Tiết kiệm Trung Niên Tích Lộc,2014-08-18,2024-03-10
87,20,4784948604,Tiết kiệm Trung Niên Tích Lộc,2014-08-18,2024-03-30
100,21,1943051505,Tiết kiệm Tích Tài,2021-07-25,2022-02-19
103,21,2047183833,Tiết kiệm Đại Phát,2021-07-25,2022-06-30
104,21,2019751099,Tiết kiệm Tích Tài,2021-07-25,2022-08-09
102,21,2020977793,Tiết kiệm Tích Tài,2021-07-25,2022-12-22
99,21,1979816898,Tiết kiệm Đại Phát,2021-07-25,2022-12-27
101,21,1986210934,Tiết kiệm Trung Niên Tích Lộc,2021-07-25,2023-02-02
98,21,2007472331,Tiết kiệm truyền thống,2021-07-25,2024-01-27
105,25,5719601718,Tiết kiệm truyền thống,2023-11-27,2024-01-22
108,25,5711065869,Tiết kiệm truyền thống,2023-11-27,2024-01-31
111,25,5661780418,Tiết kiệm Đại Phát,2023-11-27,2024-01-31
107,25,5699052443,Tiết kiệm Trung Niên Tích Lộc,2023-11-27,2024-03-07
110,25,5687086039,Tiết kiệm truyền thống,2023-11-27,2024-05-18
109,25,5733077273,Tiết kiệm truyền thống,2023-11-27,2024-05-26
106,25,5684248451,Tiết kiệm Trung Niên Tích Lộc,2023-11-27,2024-05-27
112,28,6547537845,Tiết kiệm Tích Tài,2010-05-13,2015-11-18
115,28,6528278004,Tiết kiệm Trung Niên Tích Lộc,2010-05-13,2016-07-24
116,28,6549868140,Tiền gửi tương lai,2010-05-13,2017-08-22
113,28,6578193076,Tiết kiệm Tích Tài,2010-05-13,2017-11-12
119,28,6588206805,Tiết kiệm Tích Tài,2010-05-13,2018-08-07
117,28,6594331814,Tiền gửi tương lai,2010-05-13,2019-07-31
118,28,6570694570,Tiết kiệm Đại Phát,2010-05-13,2020-10-30
114,28,6546428672,Tiết kiệm Tích Tài,2010-05-13,2022-05-05
121,30,3962364668,Tiết kiệm truyền thống,2022-01-30,2022-10-13
120,30,3997529689,Tiết kiệm Đại Phát,2022-01-30,2023-08-25
124,32,4799516945,Tiết kiệm Trung Niên Tích Lộc,2016-07-07,2017-07-02
123,32,4841234430,Tiết kiệm Đại Phát,2016-07-07,2017-09-08
128,32,4805231793,Tiết kiệm Trung Niên Tích Lộc,2016-07-07,2017-12-05
139,32,4632690475,Tiết kiệm Đại Phát,2016-07-07,2018-02-01
126,32,4859491384,Tiền gửi tương lai,2016-07-07,2018-03-03
127,32,4835763063,Tiết kiệm Đại Phát,2016-07-07,2018-12-09
136,32,4660155816,Tiết kiệm truyền thống,2016-07-07,2019-02-07
135,32,4701412223,Tiết kiệm truyền thống,2016-07-07,2019-05-29
134,32,4724027669,Tiết kiệm Đại Phát,2016-07-07,2019-07-18
122,32,4808075684,Tiền gửi tương lai,2016-07-07,2020-03-01
133,32,4742487549,Tiết kiệm Đại Phát,2016-07-07,2020-03-17
137,32,4623676945,Tiết kiệm truyền thống,2016-07-07,2020-03-18
130,32,4754734054,Tiết kiệm Trung Niên Tích Lộc,2016-07-07,2020-10-21
125,32,4817510137,Tiết kiệm Đại Phát,2016-07-07,2020-11-21
140,32,4662209052,Tiết kiệm Tích Tài,2016-07-07,2022-01-21
129,32,4767287544,Tiết kiệm Đại Phát,2016-07-07,2023-03-23
131,32,4737316302,Tiết kiệm truyền thống,2016-07-07,2023-08-09
138,32,4649722651,Tiết kiệm Đại Phát,2016-07-07,2023-09-07
132,32,4774262137,Tiền gửi tương lai,2016-07-07,2024-03-24
142,34,9750409201,Tiết kiệm Tích Tài,2002-10-25,2011-06-12
141,34,9786270904,Tiền gửi tương lai,2002-10-25,2015-08-17
143,34,9712793483,Tiền gửi tương lai,2002-10-25,2020-09-26
144,37,1708256870,Tiết kiệm Tích Tài,2003-08-17,2014-09-18
